slug,name,modality,level,force,mechanic,equipment,primary_muscles,secondary_muscles,rest_seconds,source
around-the-worlds,Around The Worlds,strength,intermediate,push,compound,dumbbell,chest,shoulders,90,free-exercise-db
back-flyes-with-bands,Back Flyes - With Bands,strength,beginner,pull,compound,bands,shoulders,middle back; triceps,90,free-exercise-db
backward-sled-drag,Backward Sled Drag,strength,beginner,pull,compound,sled,quadriceps,glutes; hamstrings; calves; forearms,90,original
balance-board,Balance Board,strength,beginner,,compound,other,calves,hamstrings; quadriceps,90,free-exercise-db
ball-leg-curl,Ball Leg Curl,strength,beginner,pull,isolation,exercise ball,hamstrings,calves; glutes,90,free-exercise-db
band-assisted-pull-up,Band Assisted Pull-Up,strength,beginner,,compound,other,lats,abdominals; forearms; middle back,90,free-exercise-db
band-hip-adductions,Band Hip Adductions,strength,beginner,pull,isolation,bands,adductors,,90,free-exercise-db
band-pull-apart,Band Pull Apart,strength,beginner,pull,isolation,bands,shoulders,middle back; traps,90,free-exercise-db
band-skull-crusher,Band Skull Crusher,strength,beginner,push,isolation,bands,triceps,,90,free-exercise-db
barbell-ab-rollout,Barbell Ab Rollout,strength,intermediate,pull,compound,barbell,abdominals,lower back; shoulders,90,free-exercise-db
barbell-ab-rollout-on-knees,Barbell Ab Rollout - On Knees,strength,expert,pull,compound,barbell,abdominals,lower back; shoulders,90,free-exercise-db
barbell-bench-press-medium-grip,Barbell Bench Press - Medium Grip,strength,beginner,push,compound,barbell,chest,shoulders; triceps,90,free-exercise-db
barbell-curl,Barbell Curl,strength,beginner,pull,isolation,barbell,biceps,forearms,90,free-exercise-db
barbell-curls-lying-against-an-incline,Barbell Curls Lying Against An Incline,strength,beginner,pull,isolation,barbell,biceps,,90,free-exercise-db
barbell-deadlift,Barbell Deadlift,strength,intermediate,pull,compound,barbell,lower back,calves; forearms; glutes; hamstrings; lats; middle back; quadriceps; traps,90,free-exercise-db
barbell-full-squat,Barbell Full Squat,strength,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
barbell-guillotine-bench-press,Barbell Guillotine Bench Press,strength,intermediate,push,compound,barbell,chest,shoulders; triceps,90,free-exercise-db
barbell-hack-squat,Barbell Hack Squat,strength,intermediate,push,compound,barbell,quadriceps,calves; forearms; hamstrings,90,free-exercise-db
barbell-incline-bench-press-medium-grip,Barbell Incline Bench Press - Medium Grip,strength,beginner,push,compound,barbell,chest,shoulders; triceps,90,free-exercise-db
barbell-incline-shoulder-raise,Barbell Incline Shoulder Raise,strength,beginner,push,compound,barbell,shoulders,chest,90,free-exercise-db
barbell-lunge,Barbell Lunge,strength,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
barbell-rear-delt-row,Barbell Rear Delt Row,strength,beginner,pull,compound,barbell,shoulders,biceps; lats; middle back,90,free-exercise-db
barbell-rollout-from-bench,Barbell Rollout from Bench,strength,intermediate,pull,compound,barbell,abdominals,glutes; hamstrings; lats; shoulders,90,free-exercise-db
barbell-seated-calf-raise,Barbell Seated Calf Raise,strength,beginner,push,isolation,barbell,calves,,90,free-exercise-db
barbell-shoulder-press,Barbell Shoulder Press,strength,intermediate,push,compound,barbell,shoulders,chest; triceps,90,free-exercise-db
barbell-shrug,Barbell Shrug,strength,beginner,pull,isolation,barbell,traps,,90,free-exercise-db
barbell-shrug-behind-the-back,Barbell Shrug Behind The Back,strength,beginner,pull,isolation,barbell,traps,forearms; middle back,90,free-exercise-db
barbell-side-bend,Barbell Side Bend,strength,beginner,pull,isolation,barbell,abdominals,lower back,90,free-exercise-db
barbell-side-split-squat,Barbell Side Split Squat,strength,beginner,push,compound,barbell,quadriceps,calves; hamstrings; lower back,90,free-exercise-db
barbell-squat,Barbell Squat,strength,beginner,push,compound,barbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
barbell-squat-to-a-bench,Barbell Squat To A Bench,strength,expert,push,compound,barbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
barbell-step-ups,Barbell Step Ups,strength,intermediate,push,compound,barbell,quadriceps,calves; glutes; hamstrings; quadriceps,90,free-exercise-db
barbell-walking-lunge,Barbell Walking Lunge,strength,beginner,push,compound,barbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
battling-ropes,Battling Ropes,strength,beginner,push,compound,other,shoulders,chest; forearms,90,free-exercise-db
bench-dips,Bench Dips,strength,beginner,push,compound,body only,triceps,chest; shoulders,90,free-exercise-db
bench-press-with-bands,Bench Press - With Bands,strength,beginner,push,compound,bands,chest,shoulders; triceps,90,free-exercise-db
bent-arm-barbell-pullover,Bent-Arm Barbell Pullover,strength,intermediate,pull,compound,barbell,lats,chest; lats; shoulders; triceps,90,free-exercise-db
bent-arm-dumbbell-pullover,Bent-Arm Dumbbell Pullover,strength,intermediate,push,compound,dumbbell,chest,lats; shoulders; triceps,90,free-exercise-db
bent-knee-hip-raise,Bent-Knee Hip Raise,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
bent-over-barbell-row,Bent Over Barbell Row,strength,beginner,pull,compound,barbell,middle back,biceps; lats; shoulders,90,free-exercise-db
bent-over-dumbbell-rear-delt-raise-with-head-on-bench,Bent Over Dumbbell Rear Delt Raise With Head On Bench,strength,beginner,pull,isolation,dumbbell,shoulders,,90,free-exercise-db
bent-over-low-pulley-side-lateral,Bent Over Low-Pulley Side Lateral,strength,beginner,pull,isolation,cable,shoulders,lower back; middle back; traps,90,free-exercise-db
bent-over-one-arm-long-bar-row,Bent Over One-Arm Long Bar Row,strength,beginner,pull,compound,barbell,middle back,biceps; lats; lower back; traps,90,free-exercise-db
bent-over-two-arm-long-bar-row,Bent Over Two-Arm Long Bar Row,strength,intermediate,pull,compound,barbell,middle back,biceps; lats,90,free-exercise-db
bent-over-two-dumbbell-row,Bent Over Two-Dumbbell Row,strength,beginner,pull,compound,dumbbell,middle back,biceps; lats; shoulders,90,free-exercise-db
bent-over-two-dumbbell-row-with-palms-in,Bent Over Two-Dumbbell Row With Palms In,strength,beginner,pull,compound,dumbbell,middle back,biceps; lats,90,free-exercise-db
bent-press,Bent Press,strength,expert,pull,compound,kettlebells,abdominals,glutes; hamstrings; lower back; quadriceps; shoulders; triceps,90,free-exercise-db
bird-dog,Bird Dog,strength,beginner,static,compound,body only,lower back; abdominals,glutes; shoulders; hamstrings,30,original
body-tricep-press,Body Tricep Press,strength,beginner,push,isolation,body only,triceps,,90,free-exercise-db
body-up,Body-Up,strength,intermediate,push,isolation,body only,triceps,abdominals; forearms,90,free-exercise-db
bodyweight-flyes,Bodyweight Flyes,strength,intermediate,push,isolation,e-z curl bar,chest,abdominals; shoulders; triceps,90,free-exercise-db
bodyweight-mid-row,Bodyweight Mid Row,strength,intermediate,pull,compound,other,middle back,biceps; lats,90,free-exercise-db
bodyweight-squat,Bodyweight Squat,strength,beginner,push,compound,body only,quadriceps,glutes; hamstrings,90,free-exercise-db
bodyweight-walking-lunge,Bodyweight Walking Lunge,strength,beginner,push,compound,,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
bosu-ball-cable-crunch-with-side-bends,Bosu Ball Cable Crunch With Side Bends,strength,beginner,pull,isolation,cable,abdominals,,90,free-exercise-db
bottoms-up,Bottoms Up,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
bottoms-up-clean-from-the-hang-position,Bottoms-Up Clean From The Hang Position,strength,intermediate,pull,compound,kettlebells,forearms,biceps; shoulders,90,free-exercise-db
box-squat-with-chains,Box Squat with Chains,strength,expert,push,compound,barbell,quadriceps,abductors; adductors; calves; glutes; hamstrings; lower back,90,free-exercise-db
bradford-rocky-presses,Bradford/Rocky Presses,strength,beginner,push,compound,barbell,shoulders,triceps,90,free-exercise-db
butt-lift-bridge,Butt Lift (Bridge),strength,beginner,push,isolation,body only,glutes,hamstrings,90,free-exercise-db
butt-ups,Butt-Ups,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
butterfly,Butterfly,strength,beginner,pull,isolation,machine,chest,,90,free-exercise-db
cable-chest-press,Cable Chest Press,strength,beginner,push,compound,cable,chest,shoulders; triceps,90,free-exercise-db
cable-crossover,Cable Crossover,strength,beginner,push,isolation,cable,chest,shoulders,90,free-exercise-db
cable-crunch,Cable Crunch,strength,beginner,pull,isolation,cable,abdominals,,90,free-exercise-db
cable-deadlifts,Cable Deadlifts,strength,beginner,pull,compound,cable,quadriceps,forearms; glutes; hamstrings; lower back,90,free-exercise-db
cable-hammer-curls-rope-attachment,Cable Hammer Curls - Rope Attachment,strength,beginner,pull,isolation,cable,biceps,,90,free-exercise-db
cable-hip-adduction,Cable Hip Adduction,strength,beginner,pull,isolation,cable,quadriceps,,90,free-exercise-db
cable-incline-pushdown,Cable Incline Pushdown,strength,beginner,pull,isolation,cable,lats,,90,free-exercise-db
cable-incline-triceps-extension,Cable Incline Triceps Extension,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
cable-internal-rotation,Cable Internal Rotation,strength,beginner,pull,compound,cable,shoulders,,90,free-exercise-db
cable-iron-cross,Cable Iron Cross,strength,beginner,push,isolation,cable,chest,,90,free-exercise-db
cable-judo-flip,Cable Judo Flip,strength,beginner,pull,compound,cable,abdominals,,90,free-exercise-db
cable-lying-triceps-extension,Cable Lying Triceps Extension,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
cable-one-arm-tricep-extension,Cable One Arm Tricep Extension,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
cable-preacher-curl,Cable Preacher Curl,strength,beginner,pull,isolation,cable,biceps,forearms,90,free-exercise-db
cable-rear-delt-fly,Cable Rear Delt Fly,strength,beginner,pull,isolation,cable,shoulders,,90,free-exercise-db
cable-reverse-crunch,Cable Reverse Crunch,strength,beginner,pull,isolation,cable,abdominals,,90,free-exercise-db
cable-rope-overhead-triceps-extension,Cable Rope Overhead Triceps Extension,strength,beginner,push,isolation,cable,triceps,,90,free-exercise-db
cable-rope-rear-delt-rows,Cable Rope Rear-Delt Rows,strength,beginner,pull,compound,cable,shoulders,biceps; middle back,90,free-exercise-db
cable-russian-twists,Cable Russian Twists,strength,beginner,pull,compound,cable,abdominals,,90,free-exercise-db
cable-seated-crunch,Cable Seated Crunch,strength,beginner,pull,isolation,cable,abdominals,,90,free-exercise-db
cable-seated-lateral-raise,Cable Seated Lateral Raise,strength,beginner,pull,isolation,cable,shoulders,middle back; traps,90,free-exercise-db
cable-shoulder-press,Cable Shoulder Press,strength,beginner,push,compound,cable,shoulders,triceps,90,free-exercise-db
cable-shrugs,Cable Shrugs,strength,beginner,pull,isolation,cable,traps,,90,free-exercise-db
cable-wrist-curl,Cable Wrist Curl,strength,beginner,pull,isolation,cable,forearms,,90,free-exercise-db
calf-machine-shoulder-shrug,Calf-Machine Shoulder Shrug,strength,beginner,pull,isolation,machine,traps,,90,free-exercise-db
calf-press,Calf Press,strength,beginner,push,isolation,machine,calves,,90,free-exercise-db
calf-press-on-the-leg-press-machine,Calf Press On The Leg Press Machine,strength,beginner,push,isolation,machine,calves,,90,free-exercise-db
calf-raise-on-a-dumbbell,Calf Raise On A Dumbbell,strength,intermediate,push,isolation,dumbbell,calves,,90,free-exercise-db
calf-raises-with-bands,Calf Raises - With Bands,strength,beginner,push,isolation,bands,calves,,90,free-exercise-db
car-drivers,Car Drivers,strength,beginner,push,isolation,barbell,shoulders,forearms,90,free-exercise-db
chair-squat,Chair Squat,strength,beginner,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
chin-up,Chin-Up,strength,beginner,pull,compound,body only,lats,biceps; forearms; middle back,90,free-exercise-db
clean-and-press,Clean and Press,strength,intermediate,push,compound,barbell,shoulders,abdominals; calves; glutes; hamstrings; lower back; middle back; quadriceps; shoulders; traps; triceps,90,free-exercise-db
clock-push-up,Clock Push-Up,strength,intermediate,push,compound,body only,chest,shoulders; triceps,90,free-exercise-db
close-grip-barbell-bench-press,Close-Grip Barbell Bench Press,strength,beginner,push,compound,barbell,triceps,chest; shoulders,90,free-exercise-db
close-grip-dumbbell-press,Close-Grip Dumbbell Press,strength,beginner,push,compound,dumbbell,triceps,chest; shoulders,90,free-exercise-db
close-grip-ez-bar-curl,Close-Grip EZ Bar Curl,strength,beginner,pull,isolation,barbell,biceps,forearms,90,free-exercise-db
close-grip-ez-bar-curl-with-band,Close-Grip EZ-Bar Curl with Band,strength,beginner,pull,isolation,e-z curl bar,biceps,forearms,90,free-exercise-db
close-grip-ez-bar-press,Close-Grip EZ-Bar Press,strength,beginner,push,compound,e-z curl bar,triceps,chest; shoulders,90,free-exercise-db
close-grip-front-lat-pulldown,Close-Grip Front Lat Pulldown,strength,beginner,pull,compound,cable,lats,biceps; middle back; shoulders,90,free-exercise-db
close-grip-push-up-off-of-a-dumbbell,Close-Grip Push-Up off of a Dumbbell,strength,intermediate,push,compound,body only,triceps,abdominals; chest; shoulders,90,free-exercise-db
close-grip-standing-barbell-curl,Close-Grip Standing Barbell Curl,strength,beginner,pull,isolation,barbell,biceps,forearms,90,free-exercise-db
cocoons,Cocoons,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
concentration-curls,Concentration Curls,strength,beginner,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
cross-body-crunch,Cross-Body Crunch,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
cross-body-hammer-curl,Cross Body Hammer Curl,strength,beginner,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
cross-over-with-bands,Cross Over - With Bands,strength,beginner,push,compound,bands,chest,biceps; shoulders,90,free-exercise-db
crunch-hands-overhead,Crunch - Hands Overhead,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
crunch-legs-on-exercise-ball,Crunch - Legs On Exercise Ball,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
crunches,Crunches,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
cuban-press,Cuban Press,strength,intermediate,push,compound,dumbbell,shoulders,traps,90,free-exercise-db
dead-bug,Dead Bug,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
decline-barbell-bench-press,Decline Barbell Bench Press,strength,beginner,push,compound,barbell,chest,shoulders; triceps,90,free-exercise-db
decline-close-grip-bench-to-skull-crusher,Decline Close-Grip Bench To Skull Crusher,strength,intermediate,push,compound,barbell,triceps,chest; shoulders,90,free-exercise-db
decline-crunch,Decline Crunch,strength,intermediate,pull,isolation,body only,abdominals,,90,free-exercise-db
decline-dumbbell-bench-press,Decline Dumbbell Bench Press,strength,beginner,push,compound,dumbbell,chest,shoulders; triceps,90,free-exercise-db
decline-dumbbell-flyes,Decline Dumbbell Flyes,strength,beginner,push,compound,dumbbell,chest,,90,free-exercise-db
decline-dumbbell-triceps-extension,Decline Dumbbell Triceps Extension,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
decline-ez-bar-triceps-extension,Decline EZ Bar Triceps Extension,strength,beginner,push,isolation,barbell,triceps,,90,free-exercise-db
decline-oblique-crunch,Decline Oblique Crunch,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
decline-push-up,Decline Push-Up,strength,beginner,push,compound,,chest,shoulders; triceps,90,free-exercise-db
decline-reverse-crunch,Decline Reverse Crunch,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
decline-smith-press,Decline Smith Press,strength,beginner,push,compound,machine,chest,shoulders; triceps,90,free-exercise-db
dip-machine,Dip Machine,strength,beginner,push,compound,machine,triceps,chest; shoulders,90,free-exercise-db
dips-chest-version,Dips - Chest Version,strength,intermediate,push,compound,other,chest,shoulders; triceps,90,free-exercise-db
dips-triceps-version,Dips - Triceps Version,strength,beginner,push,compound,body only,triceps,chest; shoulders,90,free-exercise-db
donkey-calf-raises,Donkey Calf Raises,strength,intermediate,push,isolation,other,calves,,90,free-exercise-db
double-kettlebell-alternating-hang-clean,Double Kettlebell Alternating Hang Clean,strength,intermediate,pull,compound,kettlebells,hamstrings,biceps; calves; forearms; glutes; lower back; quadriceps; traps,90,free-exercise-db
double-kettlebell-jerk,Double Kettlebell Jerk,strength,intermediate,push,compound,kettlebells,shoulders,calves; quadriceps; triceps,90,free-exercise-db
double-kettlebell-push-press,Double Kettlebell Push Press,strength,intermediate,push,compound,kettlebells,shoulders,calves; quadriceps; triceps,90,free-exercise-db
double-kettlebell-snatch,Double Kettlebell Snatch,strength,expert,pull,compound,kettlebells,shoulders,glutes; hamstrings; quadriceps,90,free-exercise-db
double-kettlebell-windmill,Double Kettlebell Windmill,strength,intermediate,pull,,kettlebells,abdominals,glutes; hamstrings; shoulders; triceps,90,free-exercise-db
downward-facing-balance,Downward Facing Balance,strength,intermediate,static,isolation,exercise ball,glutes,abdominals; hamstrings,90,free-exercise-db
drag-curl,Drag Curl,strength,intermediate,pull,compound,barbell,biceps,forearms,90,free-exercise-db
dumbbell-alternate-bicep-curl,Dumbbell Alternate Bicep Curl,strength,beginner,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
dumbbell-bench-press,Dumbbell Bench Press,strength,beginner,push,compound,dumbbell,chest,shoulders; triceps,90,free-exercise-db
dumbbell-bench-press-with-neutral-grip,Dumbbell Bench Press with Neutral Grip,strength,beginner,push,compound,dumbbell,chest,shoulders; triceps,90,free-exercise-db
dumbbell-bicep-curl,Dumbbell Bicep Curl,strength,beginner,pull,isolation,dumbbell,biceps,forearms,90,free-exercise-db
dumbbell-clean,Dumbbell Clean,strength,intermediate,pull,compound,dumbbell,hamstrings,calves; forearms; glutes; lower back; quadriceps; shoulders; traps,90,free-exercise-db
dumbbell-flyes,Dumbbell Flyes,strength,beginner,push,isolation,dumbbell,chest,,90,free-exercise-db
dumbbell-incline-row,Dumbbell Incline Row,strength,beginner,pull,compound,dumbbell,middle back,biceps; forearms; lats; shoulders,90,free-exercise-db
dumbbell-incline-shoulder-raise,Dumbbell Incline Shoulder Raise,strength,beginner,push,isolation,dumbbell,shoulders,triceps,90,free-exercise-db
dumbbell-lunges,Dumbbell Lunges,strength,beginner,push,compound,dumbbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
dumbbell-lying-one-arm-rear-lateral-raise,Dumbbell Lying One-Arm Rear Lateral Raise,strength,intermediate,pull,isolation,dumbbell,shoulders,middle back,90,free-exercise-db
dumbbell-lying-pronation,Dumbbell Lying Pronation,strength,intermediate,pull,isolation,dumbbell,forearms,,90,free-exercise-db
dumbbell-lying-rear-lateral-raise,Dumbbell Lying Rear Lateral Raise,strength,intermediate,pull,isolation,dumbbell,shoulders,,90,free-exercise-db
dumbbell-lying-supination,Dumbbell Lying Supination,strength,intermediate,pull,isolation,dumbbell,forearms,,90,free-exercise-db
dumbbell-one-arm-shoulder-press,Dumbbell One-Arm Shoulder Press,strength,intermediate,push,compound,dumbbell,shoulders,triceps,90,free-exercise-db
dumbbell-one-arm-triceps-extension,Dumbbell One-Arm Triceps Extension,strength,intermediate,push,isolation,dumbbell,triceps,,90,free-exercise-db
dumbbell-one-arm-upright-row,Dumbbell One-Arm Upright Row,strength,intermediate,pull,compound,dumbbell,shoulders,biceps; traps,90,free-exercise-db
dumbbell-prone-incline-curl,Dumbbell Prone Incline Curl,strength,intermediate,pull,isolation,dumbbell,biceps,,90,free-exercise-db
dumbbell-raise,Dumbbell Raise,strength,beginner,pull,compound,dumbbell,shoulders,biceps,90,free-exercise-db
dumbbell-rear-lunge,Dumbbell Rear Lunge,strength,intermediate,push,compound,dumbbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
dumbbell-scaption,Dumbbell Scaption,strength,beginner,push,isolation,dumbbell,shoulders,traps,90,free-exercise-db
dumbbell-seated-one-leg-calf-raise,Dumbbell Seated One-Leg Calf Raise,strength,beginner,push,isolation,dumbbell,calves,,90,free-exercise-db
dumbbell-shoulder-press,Dumbbell Shoulder Press,strength,intermediate,push,compound,dumbbell,shoulders,triceps,90,free-exercise-db
dumbbell-shrug,Dumbbell Shrug,strength,beginner,pull,isolation,dumbbell,traps,,90,free-exercise-db
dumbbell-side-bend,Dumbbell Side Bend,strength,beginner,pull,isolation,dumbbell,abdominals,,90,free-exercise-db
dumbbell-squat,Dumbbell Squat,strength,beginner,push,compound,dumbbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
dumbbell-squat-to-a-bench,Dumbbell Squat To A Bench,strength,intermediate,push,compound,dumbbell,quadriceps,calves; glutes; hamstrings; lower back,90,free-exercise-db
dumbbell-step-ups,Dumbbell Step Ups,strength,intermediate,push,compound,dumbbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
dumbbell-thruster,Dumbbell Thruster,strength,intermediate,push,compound,dumbbell,quadriceps; shoulders,glutes; triceps; abdominals,90,original
dumbbell-tricep-extension-pronated-grip,Dumbbell Tricep Extension -Pronated Grip,strength,beginner,push,isolation,dumbbell,triceps,,90,free-exercise-db
elbow-to-knee,Elbow to Knee,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
elevated-back-lunge,Elevated Back Lunge,strength,intermediate,push,compound,barbell,quadriceps,glutes; hamstrings,90,free-exercise-db
elevated-cable-rows,Elevated Cable Rows,strength,intermediate,pull,compound,cable,lats,middle back; traps,90,free-exercise-db
exercise-ball-crunch,Exercise Ball Crunch,strength,beginner,pull,isolation,exercise ball,abdominals,,90,free-exercise-db
exercise-ball-pull-in,Exercise Ball Pull-In,strength,beginner,pull,compound,exercise ball,abdominals,,90,free-exercise-db
extended-range-one-arm-kettlebell-floor-press,Extended Range One-Arm Kettlebell Floor Press,strength,beginner,push,compound,kettlebells,chest,shoulders; triceps,90,free-exercise-db
external-rotation,External Rotation,strength,beginner,pull,isolation,dumbbell,shoulders,,90,free-exercise-db
external-rotation-with-band,External Rotation with Band,strength,beginner,pull,compound,bands,shoulders,,90,free-exercise-db
external-rotation-with-cable,External Rotation with Cable,strength,beginner,pull,isolation,cable,shoulders,,90,free-exercise-db
ez-bar-curl,EZ-Bar Curl,strength,beginner,pull,isolation,e-z curl bar,biceps,,90,free-exercise-db
ez-bar-skullcrusher,EZ-Bar Skullcrusher,strength,beginner,push,isolation,e-z curl bar,triceps,forearms,90,free-exercise-db
face-pull,Face Pull,strength,intermediate,pull,compound,cable,shoulders,middle back,90,free-exercise-db
finger-curls,Finger Curls,strength,beginner,pull,isolation,barbell,forearms,,90,free-exercise-db
flat-bench-cable-flyes,Flat Bench Cable Flyes,strength,intermediate,push,isolation,cable,chest,,90,free-exercise-db
flat-bench-leg-pull-in,Flat Bench Leg Pull-In,strength,beginner,pull,compound,body only,abdominals,,90,free-exercise-db
flat-bench-lying-leg-raise,Flat Bench Lying Leg Raise,strength,beginner,pull,isolation,body only,abdominals,,90,free-exercise-db
flexor-incline-dumbbell-curls,Flexor Incline Dumbbell Curls,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
floor-glute-ham-raise,Floor Glute-Ham Raise,strength,intermediate,pull,isolation,,hamstrings,calves; glutes,90,free-exercise-db
flutter-kicks,Flutter Kicks,strength,beginner,pull,compound,body only,glutes,hamstrings,90,free-exercise-db
freehand-jump-squat,Freehand Jump Squat,strength,intermediate,push,compound,body only,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
frog-sit-ups,Frog Sit-Ups,strength,intermediate,pull,isolation,body only,abdominals,,90,free-exercise-db
front-barbell-squat,Front Barbell Squat,strength,expert,push,compound,barbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
front-barbell-squat-to-a-bench,Front Barbell Squat To A Bench,strength,expert,push,compound,barbell,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
front-cable-raise,Front Cable Raise,strength,beginner,push,isolation,cable,shoulders,,90,free-exercise-db
front-dumbbell-raise,Front Dumbbell Raise,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
front-incline-dumbbell-raise,Front Incline Dumbbell Raise,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
front-plate-raise,Front Plate Raise,strength,intermediate,push,isolation,other,shoulders,,90,free-exercise-db
front-raise-and-pullover,Front Raise And Pullover,strength,beginner,pull,compound,barbell,chest,lats; shoulders; triceps,90,free-exercise-db
front-squat-clean-grip,Front Squat (Clean Grip),strength,intermediate,push,compound,barbell,quadriceps,abdominals; glutes; hamstrings,90,free-exercise-db
front-squats-with-two-kettlebells,Front Squats With Two Kettlebells,strength,intermediate,push,compound,kettlebells,quadriceps,calves; glutes,90,free-exercise-db
front-two-dumbbell-raise,Front Two-Dumbbell Raise,strength,beginner,push,isolation,dumbbell,shoulders,,90,free-exercise-db
full-range-of-motion-lat-pulldown,Full Range-Of-Motion Lat Pulldown,strength,intermediate,pull,compound,cable,lats,biceps; middle back; shoulders,90,free-exercise-db
gironda-sternum-chins,Gironda Sternum Chins,strength,intermediate,pull,compound,other,lats,biceps; middle back,90,free-exercise-db
glute-kickback,Glute Kickback,strength,beginner,push,compound,body only,glutes,hamstrings,90,free-exercise-db
goblet-squat,Goblet Squat,strength,beginner,push,compound,kettlebells,quadriceps,calves; glutes; hamstrings; shoulders,90,free-exercise-db
gorilla-chin-crunch,Gorilla Chin/Crunch,strength,intermediate,pull,compound,body only,abdominals,biceps; lats,90,free-exercise-db
hack-squat,Hack Squat,strength,beginner,push,compound,machine,quadriceps,calves; glutes; hamstrings,90,free-exercise-db
hammer-curls,Hammer Curls,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
hammer-grip-incline-db-bench-press,Hammer Grip Incline DB Bench Press,strength,beginner,push,compound,dumbbell,chest,shoulders; triceps,90,free-exercise-db
handstand-push-ups,Handstand Push-Ups,strength,expert,push,compound,body only,shoulders,triceps,90,free-exercise-db
hanging-leg-raise,Hanging Leg Raise,strength,expert,pull,isolation,body only,abdominals,,90,free-exercise-db
hanging-pike,Hanging Pike,strength,expert,pull,compound,body only,abdominals,,90,free-exercise-db
high-cable-curls,High Cable Curls,strength,intermediate,pull,compound,cable,biceps,,90,free-exercise-db
hip-extension-with-bands,Hip Extension with Bands,strength,beginner,push,compound,bands,glutes,hamstrings,90,free-exercise-db
hip-flexion-with-band,Hip Flexion with Band,strength,beginner,pull,compound,bands,quadriceps,,90,free-exercise-db
hollow-body-hold,Hollow Body Hold,strength,intermediate,static,isolation,body only,abdominals,quadriceps,60,original
hyperextensions-back-extensions,Hyperextensions (Back Extensions),strength,beginner,pull,isolation,other,lower back,glutes; hamstrings,90,free-exercise-db
hyperextensions-with-no-hyperextension-bench,Hyperextensions With No Hyperextension Bench,strength,intermediate,pull,compound,body only,lower back,glutes; hamstrings,90,free-exercise-db
incline-barbell-triceps-extension,Incline Barbell Triceps Extension,strength,intermediate,push,isolation,barbell,triceps,forearms,90,free-exercise-db
incline-bench-pull,Incline Bench Pull,strength,beginner,pull,isolation,barbell,middle back,lats; shoulders,90,free-exercise-db
incline-cable-chest-press,Incline Cable Chest Press,strength,beginner,push,compound,cable,chest,shoulders; triceps,90,free-exercise-db
incline-cable-flye,Incline Cable Flye,strength,intermediate,push,isolation,cable,chest,shoulders,90,free-exercise-db
incline-dumbbell-bench-with-palms-facing-in,Incline Dumbbell Bench With Palms Facing In,strength,beginner,push,compound,dumbbell,chest,shoulders; triceps,90,free-exercise-db
incline-dumbbell-curl,Incline Dumbbell Curl,strength,beginner,pull,isolation,dumbbell,biceps,,90,free-exercise-db
incline-dumbbell-flyes,Incline Dumbbell Flyes,strength,beginner,push,compound,dumbbell,chest,shoulders,90,free-exercise-db
incline-dumbbell-flyes-with-a-twist,Incline Dumbbell Flyes - With A Twist,strength,beginner,push,compound,dumbbell,chest,shoulders,90,free-exercise-db
incline-dumbbell-press,Incline Dumbbell Press,strength,beginner,push,compound,dumbbell,chest,shoulders; triceps,90,free-exercise-db
